datetime_hour,date,hour,total_sales,transactions,items
2010-01-01T09:00:00,2010-01-01,9,76.100000000000023,27,303.61
2010-01-01T10:00:00,2010-01-01,10,245.2000000000001,47,1103.705
2010-01-01T11:00:00,2010-01-01,11,-149.06999999999965,57,1388.1549999999997
2010-01-01T12:00:00,2010-01-01,12,-144.16000000000037,60,1322.005
2010-01-01T13:00:00,2010-01-01,13,39.3799999999998,93,1622.9050000000004
2010-01-01T14:00:00,2010-01-01,14,11.380000000000422,106,7862.3399999999983
2010-01-01T15:00:00,2010-01-01,15,105.71000000000078,111,5889.92
2010-01-01T16:00:00,2010-01-01,16,-20.899999999999316,88,13359.715
2010-01-01T17:00:00,2010-01-01,17,-150.69999999999982,70,3171.98
2010-01-01T18:00:00,2010-01-01,18,0.75000000000090949,50,5248.5199999999986
2010-01-01T19:00:00,2010-01-01,19,-13.689999999999621,62,1171.6000000000001
2010-01-01T20:00:00,2010-01-01,20,25.609999999999843,69,807.70499999999993
2010-01-01T21:00:00,2010-01-01,21,110.04999999999994,33,5478.7250000000013
2010-01-01T22:00:00,2010-01-01,22,-135.66,4,19.14
2010-01-02T09:00:00,2010-01-02,9,3.2329694477084558e-13,25,2142.86
2010-01-02T10:00:00,2010-01-02,10,267.15000000000009,44,1882.4850000000004
2010-01-02T11:00:00,2010-01-02,11,-35.749999999999659,63,7018.95
2010-01-02T12:00:00,2010-01-02,12,88.049999999972457,84,57598.469999999994
2010-01-02T13:00:00,2010-01-02,13,-139.03999999999968,100,3273.5300000000007
2010-01-02T14:00:00,2010-01-02,14,82.110000000002145,111,17147.74
2010-01-02T15:00:00,2010-01-02,15,-51.219999999998862,92,15344.239999999998
2010-01-02T16:00:00,2010-01-02,16,272.62000000000364,69,15087.655
2010-01-02T17:00:00,2010-01-02,17,-161.59999999999769,89,9148.215
2010-01-02T18:00:00,2010-01-02,18,-76.499999999999389,106,8732.9049999999988
2010-01-02T19:00:00,2010-01-02,19,-236.7200000000002,61,1447.2649999999999
2010-01-02T20:00:00,2010-01-02,20,343.14,52,1336.7199999999998
2010-01-02T21:00:00,2010-01-02,21,-352.24000000000007,9,67.649999999999991
2010-01-03T08:00:00,2010-01-03,8,0.0,1,5.0
2010-01-03T09:00:00,2010-01-03,9,152.3599999999951,29,1443.75
2010-01-03T10:00:00,2010-01-03,10,66.599999999999568,56,6082.23
2010-01-03T11:00:00,2010-01-03,11,-118.12999999999903,76,12265.925000000003
2010-01-03T12:00:00,2010-01-03,12,136.40999999999971,98,10164.235
2010-01-03T13:00:00,2010-01-03,13,90.43000000000238,105,20098.419999999995
2010-01-03T14:00:00,2010-01-03,14,-81.1399999999997,105,12251.025000000001
2010-01-03T15:00:00,2010-01-03,15,-137.90999999999667,77,6171.5100000000011
2010-01-03T16:00:00,2010-01-03,16,80.590000000003513,80,6918.3599999999979
2010-01-03T17:00:00,2010-01-03,17,193.41999999834707,96,224339.10500000004
2010-01-03T18:00:00,2010-01-03,18,-291.60999999999933,74,13950.740000000002
2010-01-03T19:00:00,2010-01-03,19,-13.689999999999792,80,3643.745
2010-01-03T20:00:00,2010-01-03,20,77.279999999989556,71,2818.66
2010-01-03T21:00:00,2010-01-03,21,-154.61,9,153.42
2010-01-04T09:00:00,2010-01-04,9,76.749999999999972,28,508.36
2010-01-04T10:00:00,2010-01-04,10,25.059999999999935,53,2664.3049999999994
2010-01-04T11:00:00,2010-01-04,11,-22.310000000000173,65,10184.914999999999
2010-01-04T12:00:00,2010-01-04,12,-37.86999999999918,65,6077.0850000000009
2010-01-04T13:00:00,2010-01-04,13,143.14000000000135,98,7626.7649999999994
2010-01-04T14:00:00,2010-01-04,14,-23.369999999999585,109,10932.725
2010-01-04T15:00:00,2010-01-04,15,-33.599999999998772,96,10808.254999999997
2010-01-04T16:00:00,2010-01-04,16,95.69999999999925,104,12179.529999999997
2010-01-04T17:00:00,2010-01-04,17,-26.839999999999463,82,2381.92
2010-01-04T18:00:00,2010-01-04,18,-140.55000000000152,70,18518.799999999996
2010-01-04T19:00:00,2010-01-04,19,96.210000000000619,84,23137.949999999997
2010-01-04T20:00:00,2010-01-04,20,-142.48999999999995,58,6411.2349999999988
2010-01-04T21:00:00,2010-01-04,21,-9.8299999999998988,56,2144.35
2010-01-04T22:00:00,2010-01-04,22,8.8817841970012523e-16,2,13.0
2010-01-05T09:00:00,2010-01-05,9,-2.7355895326763857e-13,40,1399.455
2010-01-05T10:00:00,2010-01-05,10,290.57000000000011,54,1466.5649999999998
2010-01-05T11:00:00,2010-01-05,11,145.03000000000083,63,2688.325
2010-01-05T12:00:00,2010-01-05,12,-298.93999999999869,78,17103.055000000008
2010-01-05T13:00:00,2010-01-05,13,311.60000000000139,95,2224.04
2010-01-05T14:00:00,2010-01-05,14,-359.41000000000076,82,4678.0100000000011
2010-01-05T15:00:00,2010-01-05,15,21.010000000000815,99,2389.6349999999998
2010-01-05T16:00:00,2010-01-05,16,131.70000000000016,82,7420.57
2010-01-05T17:00:00,2010-01-05,17,-104.64999999999844,93,8711.8049999999967
2010-01-05T18:00:00,2010-01-05,18,-48.409999999999314,75,18916.935000000009
2010-01-05T19:00:00,2010-01-05,19,-41.789999999999111,103,2243.96
2010-01-05T20:00:00,2010-01-05,20,-13.500000000000167,66,5703.1799999999994
2010-01-05T21:00:00,2010-01-05,21,-1.4799999999996309,55,1249.0100000000002
2010-01-05T22:00:00,2010-01-05,22,-31.729999999999983,9,106.64
2010-01-06T09:00:00,2010-01-06,9,-2.2737367544323206e-13,29,1667.8550000000002
2010-01-06T10:00:00,2010-01-06,10,52.230000000000032,56,11718.190000000002
2010-01-06T11:00:00,2010-01-06,11,47.819999999999759,79,2111.5250000000005
2010-01-06T12:00:00,2010-01-06,12,-5.0999999999994543,80,1778.7299999999998
2010-01-06T13:00:00,2010-01-06,13,363.1999999999997,103,5466.130000000001
2010-01-06T14:00:00,2010-01-06,14,-385.28999999999968,113,7863.6709999999994
2010-01-06T15:00:00,2010-01-06,15,56.180000000000064,100,11139.66
2010-01-06T16:00:00,2010-01-06,16,-7.8800000000002655,80,4147.4800000000005
2010-01-06T17:00:00,2010-01-06,17,33.099999999999739,70,8749.880000000001
2010-01-06T18:00:00,2010-01-06,18,-73.249999999998749,71,9689.4800000000014
2010-01-06T19:00:00,2010-01-06,19,-0.85000000000026432,89,4201.84
2010-01-06T20:00:00,2010-01-06,20,191.70000000000056,71,5776.0400000000009
2010-01-06T21:00:00,2010-01-06,21,-235.09999999999977,69,1042.865
2010-01-06T22:00:00,2010-01-06,22,-36.76,4,17.720000000000002
2010-01-07T08:00:00,2010-01-07,8,-4.4408920985006262e-16,1,2.0
2010-01-07T09:00:00,2010-01-07,9,61.639999999999844,20,499.62500000000006
2010-01-07T10:00:00,2010-01-07,10,13.389999999999787,44,1926.7699999999998
2010-01-07T11:00:00,2010-01-07,11,-45.169999999999732,70,46090.914999999994
2010-01-07T12:00:00,2010-01-07,12,21.919999999999789,82,18166.82
2010-01-07T13:00:00,2010-01-07,13,51.960000000000974,79,3733.6
2010-01-07T14:00:00,2010-01-07,14,2.7300000000003166,80,2010.7949999999998
2010-01-07T15:00:00,2010-01-07,15,-103.5199999999997,81,9513.715
2010-01-07T16:00:00,2010-01-07,16,126.61000000000018,80,3392.3300000000004
2010-01-07T17:00:00,2010-01-07,17,-93.4899999999991,70,12619.184999999998
2010-01-07T18:00:00,2010-01-07,18,25.110000000001207,54,15646.460000000001
2010-01-07T19:00:00,2010-01-07,19,-61.180000000000248,99,1784.4350000000004
2010-01-07T20:00:00,2010-01-07,20,44.09000000000033,76,14860.835
2010-01-07T21:00:00,2010-01-07,21,-44.090000000000359,89,3609.6749999999997
2010-01-07T22:00:00,2010-01-07,22,7.1054273576010019e-15,3,44.680000000000007
2010-01-08T09:00:00,2010-01-08,9,86.720000000000255,35,3685.575
2010-01-08T10:00:00,2010-01-08,10,93.360000000000468,56,2714.89
2010-01-08T11:00:00,2010-01-08,11,96.110000000000809,74,3779.7850000000003
2010-01-08T12:00:00,2010-01-08,12,103.43000000000036,89,2094.835
2010-01-08T13:00:00,2010-01-08,13,-76.330000000000808,88,11132.604999999996
2010-01-08T14:00:00,2010-01-08,14,-140.88999999999959,89,5323.95
2010-01-08T15:00:00,2010-01-08,15,187.21000000000117,71,6620.9649999999983
2010-01-08T16:00:00,2010-01-08,16,-321.9199999999995,63,6197.6150000000034
2010-01-08T17:00:00,2010-01-08,17,78.79000000000137,71,2651.1998999999996
2010-01-08T18:00:00,2010-01-08,18,-23.879999999999313,58,2456.8299999999995
2010-01-08T19:00:00,2010-01-08,19,-36.490000000000485,73,2873.6299999999997
2010-01-08T20:00:00,2010-01-08,20,53.7500000000004,53,1487.5850000000005
2010-01-08T21:00:00,2010-01-08,21,-54.429999999999772,49,793.3755510000002
2010-01-08T22:00:00,2010-01-08,22,-45.43,3,10.215
2010-01-09T09:00:00,2010-01-09,9,132.47000000000037,35,1542.4499999999998
2010-01-09T10:00:00,2010-01-09,10,167.62000000000057,62,8722.3849999999984
2010-01-09T11:00:00,2010-01-09,11,-95.539999999993654,84,10785.81
2010-01-09T12:00:00,2010-01-09,12,78.749999999999375,99,8001.1350000000011
2010-01-09T13:00:00,2010-01-09,13,-55.4899999999989,120,11558.320000000005
2010-01-09T14:00:00,2010-01-09,14,313.47000000000037,78,6656.455
2010-01-09T15:00:00,2010-01-09,15,-360.57999999999686,89,32338.144999999997
2010-01-09T16:00:00,2010-01-09,16,-78.289999999997775,127,13247.649999999998
2010-01-09T17:00:00,2010-01-09,17,-15.099999999998431,114,11732.155000000006
2010-01-09T18:00:00,2010-01-09,18,104.03000000000254,81,7794.1849999999995
2010-01-09T19:00:00,2010-01-09,19,-81.720000000000027,67,10541.23
2010-01-09T20:00:00,2010-01-09,20,89.480000000000373,68,2521.6549999999997
2010-01-09T21:00:00,2010-01-09,21,-199.09999999999997,8,1765.83
2010-01-10T09:00:00,2010-01-10,9,80.2099999999999,28,16527.739999999994
2010-01-10T10:00:00,2010-01-10,10,112.41000000000145,52,2908.8549999999996
2010-01-10T11:00:00,2010-01-10,11,-25.070000000108784,78,51614.294999999991
2010-01-10T12:00:00,2010-01-10,12,86.850000000003945,89,59740.664999999972
2010-01-10T13:00:00,2010-01-10,13,88.090000000001226,110,6534.9900000000007
2010-01-10T14:00:00,2010-01-10,14,9.8200000000013983,111,8685.6200000000026
2010-01-10T15:00:00,2010-01-10,15,-246.37999999999579,101,8904.0899999999983
2010-01-10T16:00:00,2010-01-10,16,494.14999999996735,110,3845.6199999999994
2010-01-10T17:00:00,2010-01-10,17,-220.3299999999976,86,3645.4550000000008
2010-01-10T18:00:00,2010-01-10,18,-169.82999999999623,99,4403.4249999999993
2010-01-10T19:00:00,2010-01-10,19,9.1500000000009436,70,3822.7050000000004
